pageid,before(...-),after(joined)
v1p241,oduction d'une équivoci-,oduction d'une équivocité subtile 
v1p241,aut se garde bien d'évi-,aut se garde bien d'éviter toute a
v1p242,onores et/ou morphologi-,onores et/ou morphologiques:
v1p246,ant une raison suffisan-,ant une raison suffisante pour aba
v1p246,ien pu avoir lieu en Ca-,ien pu avoir lieu en Catalogne! D'
v1p246,coler ce poème à un évé-,coler ce poème à un événement quel
v1p246,tée à ce problème de ré-,tée à ce problème de références in
v1p246,e précisément de se ser-,e précisément de se servir de cett
v1p246, fait séjourner à la ré-, fait séjourner à la réunion litté
v1p246,e aussi bien par son gé-,e aussi bien par son génie personn
v1p246,re plaisanter sur le ca-,re plaisanter sur le caractère grê
v1p256, cause nos propres hypo-, cause nos propres hypothèses. Out
v1p256,t* a sa valeur temporel-,t* a sa valeur temporelle et non p
v1p256,"z d'elle, comme si gran-","z d'elle, comme si grandes richess"
v1p256,for(a)* est indubitable-,for(a)* est indubitablement un con
v1p256,ntenu - de celle de Pat-,"ntenu - de celle de Pattison, offr"
v1p256,"*Na*, la particule nobi-","*Na*, la particule nobiliaire (voi"
v1p267,"ntendu, une erreur typo-","ntendu, une erreur typographique p"
v1p267,Carl Appel proposa d'in-,Carl Appel proposa d'interpréter c
v1p267,n prenant cependant tou-,n prenant cependant toutes les pré
v1p267,p.33 qui reprend l'hypo-,p.33 qui reprend l'hypothèse de Ca
v2p000,groep : Romaanse filolo-,groep : Romaanse filologie) door M
v2p022,"t dans ce poème, 9 d'en-","t dans ce poème, 9 d'entre elles s"
v2p022,tricia Hagan note égale-,tricia Hagan note également la pré
v2p022,"ales ""employed both ini-","ales ""employed both initially in r"
v2p022,). On notera aussi l'ap-,). On notera aussi l'apparition du
v2p022,iste à employer les ter-,iste à employer les termes mêmes d
v2p022,"r* (4), *far-amar-tener-","r* (4), *far-amar-tenerpoder-torna"
v2p022,3 formes restantes n'ap-,3 formes restantes n'apparaissent 
v2p023,ezir* (v.13) par le ter-,ezir* (v.13) par le terme absolume
v2p023,il nous semble méconnaî-,il nous semble méconnaître les con
v2p023,"patterns"" dont nous par-","patterns"" dont nous parlions à l'i"
v2p023,"exactement, dans ce con-","exactement, dans ce contexte-là, '"
v2p023,ra décidé et *jugé* com-,"ra décidé et *jugé* comment est, s"
v2p023,"u poème, là où il affir-","u poème, là où il affirme justemen"
v2p044,il faut donner à sa tra-,"il faut donner à sa traduction: ""."
v2p044,agit-il ici d'un complé-,agit-il ici d'un complément d'obje
v2p126,i j'osais ouvrir mon li-,i j'osais ouvrir mon livre des fai
v2p126, se réfère comme à l'au-, se réfère comme à l'autorité de l
v2p126,", dans le texte de Raim-",", dans le texte de Raimbaut d'Oran"
v2p126,"e, rapprochement de ter-","e, rapprochement de termes par le "
v2p126, de parodies qui consti-, de parodies qui constituent l'une
v2p126,"ions des types, ""de sor-","ions des types, ""de sorte qu'un co"
v2p130,*Midonz* vers qui je di-,*Midonz* vers qui je dirige mes pe
v2p130,s remarquable de consta-,s remarquable de constater la perm
v2p130,"uveauté"" dans cette lit-","uveauté"" dans cette littérature. D"
v2p130,".113-146, et nos ""Remar-",".113-146, et nos ""Remarques"" à XXI"
v2p130,'agit d'une chanson uni-,'agit d'une chanson uniquement att
v2p130,ncore que cette attribu-,ncore que cette attribution parais
v2p130,"opos, voir Angelo MONTE-","opos, voir Angelo MONTEVERDI, 'La "
v2p130,ta a Guglielmo d'Aquita-,"ta a Guglielmo d'Aquitania', dans "
v2p155,", à isoler dans l'ensem-",", à isoler dans l'ensemble du corp"
v2p155,quence ni de leurs éven-,quence ni de leurs éventuels regro
v2p155,"ue, mais uniquement gra-","ue, mais uniquement graphique et/o"
v2p155,"ue nous n'avons là, évi-","ue nous n'avons là, évidemment, qu"
v2p155,"ique ou vocable, se dif-","ique ou vocable, se différenciant "
v2p155,"nt due, ici, qu'aux seu-","nt due, ici, qu'aux seules exigenc"
v2p155,"introduit, dans son pro-","introduit, dans son propre vocabul"
v2p155,poésie lyrique des trou-,"poésie lyrique des troubadours, tr"
v2p155,es s'imposaient. La pre-,es s'imposaient. La première consi
v2p155,à quantifier et à réper-,à quantifier et à répertorier les 
v2p155,n corpus de N' occurren-,n corpus de N' occurrences. La sec
v2p155, de N'1 (= U.W. de Raim-, de N'1 (= U.W. de Raimbaut) avec 
v2p160,tte seconde série d'opé-,"tte seconde série d'opérations, ex"
v2p160,ermit ensuite de suppri-,ermit ensuite de supprimer un cert
v2p160, était possible de reje-, était possible de rejeter le seco
v2p160,"eLeT. De même, Yvre, va-","eLeT. De même, Yvre, variante grap"
v2p160, de IBreS pouvait dispa-, de IBreS pouvait disparaître. Mai
v2p160,ux — les vocables qu'in-,ux — les vocables qu'introduisit R
v2p160,ropre vocabulaire poéti-,ropre vocabulaire poétique et dont
v2p160,", nous nommerons ces vo-",", nous nommerons ces vocables des "
v2p168,e courtois des plus tra-,e courtois des plus traditionnels 
v2p168,port à la tradition poé-,"port à la tradition poétique, cons"
v2p168,"e"" de Raimbaut, est con-","e"" de Raimbaut, est considérée com"
v2p168,t au vocabulaire techni-,t au vocabulaire technique de la c
v2p168,man et Mölk comme appar-,man et Mölk comme appartenant au *
v2p168,"sa ""transparence séanti-","sa ""transparence séantique"")[^2], "
v2p178,re que le *trobar* occi-,re que le *trobar* occitan tout en
v2p178,"ion' (III,7-8), pour au-","ion' (III,7-8), pour autant qu'ils"
v2p178,ui qui...*sap ab la len-,ui qui...*sap ab la lenga / dir so
